B.1	"I came across this problem. If ""eqx4eqx"" then find the value of ""eqx5eqx"" for which the range of ""eqx6eqx"" does not contain ""eqx7eqx""."
B.2	"How to solve differential equations of the following form:  ""eqx9eqx"""
B.3	"I am attempting to resolve the following problem:  Find an approximation to ""eqx12eqx"" correct to an exactitude of ""eqx13eqx"" using the bisection algorithm. From what I understand, ""eqx14eqx"" has to be placed in function of ""eqx15eqx"" but I am not sure where to go from there."
B.4	"I have the sum ""eqx22eqx"" I know the result is ""eqx23eqx"" but I don't know how you get there."
B.6	"I want to find ""eqx25eqx"" I have noticed that ""eqx26eqx"" when ""eqx27eqx"" is uneven and 1 otherwise, which would lead me to say that ""eqx28eqx"" But I don't know how to prove this."
B.8	"Finding value of ""eqx49eqx"" what i try ""eqx50eqx"" ""eqx51eqx"" How do i solve it help me please"
B.9	"I need to write the series  ""eqx52eqx""  in a form that does not involve the summation notation, for example ""eqx53eqx"". Does anyone have any idea how to do this?"
B.10	"Find the values of a>0 for which the improper integral ""eqx55eqx"" converges . Do  I have to expand integrand using series expansion??"
B.11	"for instance if had a parameterization: ""eqx66eqx"" and needed to calculate in ""eqx67eqx"": ""eqx68eqx"" There are plenty of examples in the book for calculating the determinate D in ""eqx69eqx"" but none at all for ""eqx70eqx"" case. As in: ""eqx71eqx"" ""eqx72eqx"""
B.12	"It is asking me to find all roots and then sketch it. ""eqx73eqx"" How do we proceed?"
B.13	"How to simplify expression ""eqx75eqx"" The answer is ""eqx76eqx""  but I am wondering how to get the answer."
B.14	"I have first-order differential equation ""eqx77eqx"" Maybe, with this someone will find way to solve it ""eqx78eqx"" I thought I can use ""eqx79eqx"" for subtitution and when I derivate, I have ""eqx80eqx"" which is acctualy the same as previous. I don't have idea how to start.."
B.15	"For the series   ""eqx82eqx""   and ""eqx83eqx"". I need to find partial sums and finally, the sum ""eqx84eqx"" of series."
B.16	"Calculate   ""eqx92eqx"" My try :  Let : ""eqx93eqx"" Then compute ""eqx94eqx""."
B.17	"I want to calculate ""eqx97eqx"" with the function ""eqx98eqx"". I thought about using the closed path ""eqx99eqx"", when: ""eqx100eqx"" ""eqx101eqx"" ""eqx102eqx"" ""eqx103eqx"" I use the fact that ""eqx104eqx"" is an even function and has an anti derivative, so the integral on a closed path is zero."
B.18	"I know there are many question like this, but i want to solve it using Cesáro-Stolz method and no others. I took log and applied Cesáro-Stolz, I get ""eqx111eqx"" Which gives me answer as ""eqx112eqx"" . But answer is ""eqx113eqx""."
B.20	"I'm looking for an ""eqx129eqx"" for which ""eqx130eqx"" where ""eqx131eqx"" is a Euler-Totient Function   I already found one, namely, ""eqx132eqx"" How the calculate the ""eqx133eqx""?"
B.21	"I'm continuing on my journey learning about modular arithmetic and got confused with this question: Find the last two digits of ""eqx135eqx"" (nine 9s). The phi function is supposed to be used in this problem and so far this is what I've got: ""eqx136eqx"" Where ""eqx137eqx"" ""eqx138eqx"" In order to know ""eqx139eqx"", we need to know ""eqx140eqx"" As ""eqx141eqx"", we get ""eqx142eqx"" ""eqx143eqx"""
B.24	"work out the ""eqx172eqx"" ""eqx173eqx"" ""eqx174eqx"" ""eqx175eqx"" ""eqx176eqx""  ""eqx177eqx"" ""eqx178eqx"" ""eqx179eqx"" ""eqx180eqx"" ""eqx181eqx"" Can we solve ""eqx182eqx"" in another way?"
B.25	"If ""eqx196eqx"", then ""eqx197eqx"" for the same reason. But when ""eqx198eqx"", we have that ""eqx199eqx"" does not converge into an integer. So I think ""eqx200eqx"" cannot be a polynomial."
B.26	"I am trying to show that the following integral is convergent but not absolutely. ""eqx203eqx""  My attempt:  I first obtained the taylor series of ""eqx204eqx"" which is as follows:   ""eqx205eqx""  Now ""eqx206eqx"" and I got stuck here! What is the next step?"
B.27	"What is the value of ""eqx207eqx""?"
B.28	"If ""eqx213eqx"", then what is ""eqx214eqx""?"
B.29	"This completely stumped them and I was unable to get an answer. After doing some theoretical calculation, knowing that ""eqx238eqx"", I calculated that a complex number such as ""eqx239eqx"" since  ""eqx240eqx""  using properties utilized with real numbers that would state that ""eqx241eqx"" since ""eqx242eqx"" Is this theoretical calculation correct or is there more to the concept than this?"
B.30	"""eqx244eqx""Find ""eqx245eqx"": ""eqx246eqx"" ""eqx247eqx"" ""eqx248eqx"" ""eqx249eqx"" Please help me solve this question."
B.32	"When we introduce a ""definition"" in a first order logical system. For example when we say  Define: ""eqx262eqx""  Isn't that definition itself an ""axiom"", call it a definitional axiom. I'm asking this because the one place predicate symbol Empty() is actually new, it is not among the listed primitives of say Zermelo, which has only identity and membership as primitive symbols."
B.33	"Given a physical quantity represented by a function ""eqx264eqx"" what is (if there is any) the actual meaning of the third derivative of ""eqx265eqx"", ""eqx266eqx"" or ""eqx267eqx"""
B.34	"I have modified the question accordingly. An extension would define ""eqx278eqx"" for each ""eqx279eqx"" which satisfies the recursive definition of the notation. Edit 2: Okay, turns out ""eqx280eqx"" isn't correct either, as this would imply ""eqx281eqx""."
B.35	"I know this question may sound naïve but why can't we write ""eqx290eqx"" as ""eqx291eqx""? The former does not have an antiderivative, while the latter has."
B.36	"Assuming that ""eqx292eqx"" holds, using the list of statements proven earlier to hold or derived by us during the proof, we arrive to P being ""eqx293eqx"". ""eqx294eqx"" ""eqx295eqx"" We can therefore add P to the list of our proven statements, because it was derived. Most of the proofs contain something in the lines of ""the obtained contradiction proves that our initial assumption (""eqx296eqx"") was wrong and so ""eqx297eqx"" holds""."
B.37	"Are there real-valued functions ""eqx303eqx"" and ""eqx304eqx"" which are neither each other's inverses, the identity, nor linear, yet exhibit the behaviour ""eqx305eqx"" Examples such as ""eqx306eqx"" and ""eqx307eqx"" are ""trivial"" in this sense. Moreover, given a function ""eqx308eqx"", can one go about obtaining an example of a function ""eqx309eqx"" which commutes with ""eqx310eqx""?"
B.38	"Some years ago I saw the ZFC axioms for the first time, but now that I am in college, and although the stuff I've been taught so far is nowhere near ZFC (in terms of difficulty), it happened to me that we use the axiom of choice all the time in every module, even if we don't know it by name yet. For example, in the proof that, for every non-negative integers ""eqx318eqx"", there exist integers ""eqx319eqx"" (with the known restrictions on r), and the proof starts like this: ""eqx320eqx"" the largest integer ""eqx321eqx""... blah blah blah. Is it the axiom of choice that allows us to execute this simple yet so important step?"
B.40	"Basically there should not be any higher power of x failing which the graph of the function will not be a straight line. simillarly ""eqx329eqx"" is also called linear differential equation because all the derivatives have power equal to 1 which is similar to the above definition of a linear equation. A function f is called linear if: ""eqx330eqx"" and ""eqx331eqx""."
B.41	"In the book it is given if A and B are two finite sets containing ""eqx333eqx"" and ""eqx334eqx"" elements, respectively, then the number of onto functions from A to B will be if  ""eqx335eqx""  ""eqx336eqx"" well I can't understand it and I am aware with combinations."
B.43	"I am trying to prove  ""eqx340eqx"" Letting ""eqx341eqx"" we recall the Fourier series for the exponential function ""eqx342eqx"" Plugging in ""eqx343eqx"" ""eqx344eqx"" ""eqx345eqx"" ""eqx346eqx"" ""eqx347eqx"" But that is nowhere near to correct."
B.44	"Let ""eqx350eqx"" be the group ""eqx351eqx"" of nonsingular matrices. Let ""eqx352eqx"", the order of ""eqx353eqx"" is ""eqx354eqx""; Let ""eqx355eqx"", the order of ""eqx356eqx"" is ""eqx357eqx""."
B.45	"Prove that {""eqx362eqx""} is independent in ""eqx363eqx"" my trial : we know that the Wronsekian shouldn't be ""eqx364eqx"" to get the trivial solution and thus they are independent."
B.46	"Suppose ""eqx368eqx"" is a Lebesgue integrable function on""eqx369eqx"" which satisfies ""eqx370eqx"" , prove ""eqx371eqx"""
B.47	"Prove that for a given prime ""eqx399eqx"" and each ""eqx400eqx"", there exists a ""eqx401eqx"" such that ""eqx402eqx"""
B.48	"I'm trying to show the following:   If ""eqx426eqx"", then ""eqx427eqx"" for all ""eqx428eqx"" So, far I've tried a few things, but nothing seems to stick."
B.50	"Divergent series ""eqx459eqx"""
B.51	"Prove that ""eqx468eqx"" what i try ""eqx469eqx"" ""eqx470eqx"" coefficient of ""eqx471eqx"" in  ""eqx472eqx"" How do i solve ithelp me plesse"
B.52	"There are two parts I am having trouble getting started. A. Prove that ""eqx477eqx"" are each at least ""eqx478eqx"" then ""eqx479eqx"" is not divisible by any numbers ""eqx480eqx"". B. Prove that the truth of the negation leads to a contradiction."
B.53	"This happens when the ""eqx499eqx"" and ""eqx500eqx"" are not square matrices (in which case they do not even form a group under multiplication). However if we restrict the square matrices, ""eqx501eqx"". What is simple proof of this that avoids chasing the entries, and makes use simply the vector space structure of linear transformations?"
B.54	"Any tips or solutions for this one? By using a diagonal argument, show that the powerset ""eqx503eqx"" is uncountable."
B.55	"""eqx504eqx""?"
B.56	"Let ""eqx509eqx"" be a nonempty set of natural numbers. Is the following formula ""eqx510eqx"" true or false on ""eqx511eqx""? I know the answer to this question, but what would be the shortest way to arrive to the conclusion using some deduction system?"
B.57	"I know that given ""eqx512eqx"", a compact subset of ""eqx513eqx"", and ""eqx514eqx"", a continuous injective (one-to-one) function, ""eqx515eqx"" is continuous on ""eqx516eqx"". (This true)."
B.58	"Exercise 1. Prove that  ""eqx525eqx""  Thanks."
B.59	"I am looking for multiple proofs of that statement: here ""eqx527eqx"" denotes the Euler’s totient  ""eqx528eqx""  Here’s one: By unique factorisation theorem: ""eqx529eqx"" and ""eqx530eqx"" where ""eqx531eqx"" so:  ""eqx532eqx"""
B.60	"Q) Let, ""eqx533eqx"" , ""eqx534eqx"". Then ""eqx535eqx"" (A) equals ""eqx536eqx"" (B) does not exist (C) equals ""eqx537eqx"" (D) equals ""eqx538eqx""  My Approach :- I am not getting a particular direction or any procedure to simplify ""eqx539eqx"" and find its value when n tends to infinity. So, I tried like this simple way to substitute values and trying to find the limiting value :- ""eqx540eqx""  =""eqx541eqx"" =0.009*..."
B.62	"Here's the full question: Let ""eqx559eqx"" denote the set of rational numbers and ""eqx560eqx"" denote the set of integers. Prove that ""eqx561eqx"". I thought about saying that every element in ""eqx562eqx"" can be written as some element in ""eqx563eqx"", but I still don't know how to prove that that is a bijection, or even how to prove that ""eqx564eqx""."
B.63	"For any two positive integers ""eqx568eqx"", the relationship between their greatest common divisor and their least common multiple is given by ""eqx569eqx"" If I have a set of ""eqx570eqx"" positive integers ""eqx571eqx"", does the same relationship hold? Is it true that ""eqx572eqx"" I feel like this should be easy to prove, but I'm struggling to get a handle on it."
B.64	"Suppose that ""eqx573eqx"" is continuous and that ""eqx574eqx"". Prove that there exists a point ""eqx575eqx"" satisfying ""eqx576eqx""."
B.65	"How can we show that ""eqx600eqx"" for all ""eqx601eqx""? Applying ""eqx602eqx"" to both sides yields that ""eqx603eqx"" should be equivalent to ""eqx604eqx"" So, if I did no mistake, it should suffice to show ""eqx605eqx"" for all ""eqx606eqx""."
B.66	"if ""eqx610eqx"" and ""eqx611eqx"" is it possible to justify that ""eqx612eqx""?"
B.67	"If A is a ""eqx613eqx"" matrix,B is a ""eqx614eqx"" matrix and C is a ""eqx615eqx"" matrix prove that: ""eqx616eqx"" O is the matrix that all it's elements are equal to zero. I know some rules for calculating determinants but I don't know how to begin in this question."
B.68	"Prove ""eqx620eqx"" is divisible by ""eqx621eqx"" if ""eqx622eqx"" is odd: We know ""eqx623eqx"" cannot be ""eqx624eqx"" and the ""eqx625eqx"". Since ""eqx626eqx"" must be odd, we can rewrite ""eqx627eqx"" as ""eqx628eqx""."
B.69	"So I was assigned this homework problem: ""eqx637eqx"" for all s and all ""eqx638eqx"" I've tried to email both my professor and my TA and their explanations seem contradictory. My professor responded saying the statement I need to prove is ""The formula is correct for ""eqx639eqx""."""
B.70	"Let ""eqx641eqx"" and ""eqx642eqx"". I need to prove the following: ""eqx643eqx"" I tried to use Euler formula and then sum the first ""eqx644eqx"" terms of the geometric serie I get, but it didn't work. Any ideas?"
B.71	"Show, with induction that ""eqx646eqx"" My attempt Case 1: n = 1 ""eqx647eqx""  ""eqx648eqx"" Case 2: n = p ""eqx649eqx"" ""eqx650eqx"" Case 3: n = p + 1 ""eqx651eqx"" ""eqx652eqx"" Now to show this with induction I think i need to show that ""eqx653eqx"" ""eqx654eqx"" So I need to rewrite  ""eqx655eqx""to be equal to ""eqx656eqx"""
B.73	"This are the doubts I have about the demonstration, the which I hope someone can clarify. Prove that ""eqx663eqx"". We will use the following equality, and call it ""eqx664eqx"":  ""eqx665eqx"" (?-1)"
B.74	"Show that the image of the function ""eqx689eqx"", ""eqx690eqx"" is the interval ""eqx691eqx"". If ""eqx692eqx"", then ""eqx693eqx""."
B.75	"I'm unsure how to show  that for each integer ""eqx697eqx"", ""eqx698eqx"". Looking at the solutions it starts with ""eqx699eqx"" ""eqx700eqx"" ""eqx701eqx"" but not sure how this is a logical step."
B.76	"The problem is the following:  Let ""eqx703eqx"" where ""eqx704eqx"" and ""eqx705eqx"". Suppose we have a collection of such sets   ""eqx706eqx""   satisfying: ""eqx707eqx"" Show whether it is always possible to extract a finite   ""eqx708eqx"" s.t. ""eqx709eqx""  Unfortunately, I seem to have forgotten a lot of my elementary algebra... Nevertheless, I have attempted something: Let ""eqx710eqx"" be the set of primes."
B.77	"Show that the relation ""eqx727eqx"" is a consequence of the distributive law. This question is the first problem from 'Number Theory for Beginners"" by Andre Weil."
B.79	"Rudin in Real and Complex Analysis uses this in a proof near the beginning of chapter 9:  ""eqx739eqx"" for all real ""eqx740eqx""  Why is this true? Edit: I believe ""eqx741eqx"" is real"
B.80	"Just start out with the least elements. ""eqx743eqx"" In other words, first comes ""eqx744eqx"", then comes ""eqx745eqx""."
B.81	"Let ""eqx752eqx"" be an infinite set. Proposition 1:   For any ""eqx753eqx"", there exists an injection from ""eqx754eqx"" to ""eqx755eqx"". (1) Since ""eqx756eqx"", there exists ""eqx757eqx""."
B.82	"Let ""eqx800eqx"" be the area under the curve for ""eqx801eqx"" in the interval ""eqx802eqx"" ""eqx803eqx"" Now there must exist a function, ""eqx804eqx"" such that:   ""eqx805eqx"" Substituting the value of ""eqx806eqx"": ""eqx807eqx"" Using t substitution: Let ""eqx808eqx"" Then: ""eqx809eqx"" And:  ""eqx810eqx"" Changing the limits: ""eqx811eqx"" ""eqx812eqx"" becomes ""eqx813eqx"" ""eqx814eqx"" becomes ""eqx815eqx"" Substituting in the definite integral: ""eqx816eqx"" But Definite Integral where the lower and upper bounds are the same is ""eqx817eqx"". So: ""eqx818eqx"", which is not possible."
B.83	"With that in mind, he gave us a sequence to chew on before we learn more about boundedness. That sequence is: ""eqx819eqx"" I know that a sequence is bounded above if there is a number ""eqx820eqx"" such that ""eqx821eqx"" for all ""eqx822eqx""."
B.84	"I've : ""eqx825eqx"" is not a principal ideal in ""eqx826eqx"" where p is prime. My question :   Is ""eqx827eqx"" a principal ideal in ""eqx828eqx"" where p is not a prime?"
B.85	"I tried to first find the possibility that this bug reaches ""eqx839eqx"" as the number of steps goes to infinity. The recurrence equation I find is ""eqx840eqx"", where ""eqx841eqx"" is the possibility for the bug starting at position ""eqx842eqx"" to reach ""eqx843eqx"". We also have the boundary condition ""eqx844eqx""."
B.86	"Problem: Is it true that ""eqx849eqx"" My start of solution: ""eqx850eqx"" I think this upper bound is way too large and I can't seem to find a solution."
B.87	"If  ""eqx853eqx"" , is it true that ""eqx854eqx"" ? I have been able to prove that this holds for ""eqx855eqx"" , ""eqx856eqx"", and ""eqx857eqx"" using the following lemma:"
B.88	"Is the polynomial  ""eqx882eqx""  reducible over  ""eqx883eqx""?"
B.89	"Is there any known complete parametrization of the Diophantine equation ""eqx884eqx"" where ""eqx885eqx"" are (positive) rational numbers, or equivalently, integers?"
B.90	"By definition, if ""eqx886eqx"" is a ""eqx887eqx"" matrix, an inverse of ""eqx888eqx"" is an ""eqx889eqx"" matrix ""eqx890eqx"" with the property that: ""eqx891eqx""  where ""eqx892eqx"" is the ""eqx893eqx"" identity matrix. Are there any cases where ""eqx894eqx"" but ""eqx895eqx"" or the other way around (and thus making (1) a false statement) ?"
B.92	"This is all I could infer so far. With respect to the above, I tried looking at ""eqx931eqx"" or ""eqx932eqx"" in ""eqx933eqx"" for some prime number ""eqx934eqx"" but I have trouble determining whether the quotient is a field or not."
B.93	"Let ""eqx937eqx"" matrix on ""eqx938eqx"" size ""eqx939eqx"". How can I prove that ""eqx940eqx"" if ""eqx941eqx"" and ""eqx942eqx"" are singular matrix"
B.94	"Question: Are there ""eqx944eqx"" sets of natural numbers such that each two have finite intersection. From what I've read about infinite families, I need to ignore those who have the properpty ""eqx945eqx""."
B.95	"The problem:  Defining ""eqx950eqx"" as the leg ""eqx951eqx"" of a right triangle with ""eqx952eqx"" (in radians) and hypotenuse ""eqx953eqx"", prove that ""eqx954eqx""  (The motivation is to find the derivative of ""eqx955eqx"" in a elementary, ""pre-Taylor"" and ""pre-series"" context). I have seen many times a proof that it is based in the fact that the length of the arc ""eqx956eqx"" satisfies ""eqx957eqx"" or sometimes ""eqx958eqx"" The lower bound is clear because the ""eqx959eqx"" is the length of a straight segment and ""eqx960eqx"" is the length of a curved segment with the same endpoints."
B.96	"Let ""eqx975eqx"" be a convergent sum with positive ""eqx976eqx"". Does ""eqx977eqx"" always diverge?"
B.97	"I feel like the answer should be infinity, because if the dimension was finite, say ""eqx992eqx"", then for every ""eqx993eqx"" real numbers  ""eqx994eqx"" there was a linear combination with rational coefficients that gives ""eqx995eqx"": ""eqx996eqx"". Multiplying by ""eqx997eqx"" we get that for every ""eqx998eqx"" real numbers there is a linear combination with natural coefficients that gives ""eqx999eqx"". That feels false, how do you prove it?"
B.98	"I need to prove that, for all ""eqx1006eqx"", the set ""eqx1007eqx"" is dense in ""eqx1008eqx"". First, I can write ""eqx1009eqx"" by ""eqx1010eqx"" So, I can write ""eqx1011eqx"", ""eqx1012eqx"" by ""eqx1013eqx"" I need to prove that, for all ""eqx1014eqx"" and for all ""eqx1015eqx"", every neighborhood ""eqx1016eqx"" of ""eqx1017eqx"" contains a point ""eqx1018eqx"" such that ""eqx1019eqx"" for some ""eqx1020eqx""."
B.201	"I want to see if there is any elementary way to prove the following assertion about matrices over division rings (such as not using Wedderburn's theory or tensoring techniques). If an ""eqx1eqx"" matrix over a division ring has left inverse, then it also has right inverse. The assertion has elementary proof for matrices over fields, but I am considering over division rings."
B.202	"Some Background and Motivation: In this question, it is shown that an integral domain ""eqx2eqx"" such that ""eqx3eqx"", ""eqx4eqx"" and ""eqx5eqx"" fields with ""eqx6eqx"" finite, is itself a field. However, a significantly more general result holds and seems worthy, of independent address; hence, Let ""eqx7eqx"" be fields with ""eqx8eqx"" if ""eqx9eqx"" is a ring such that ""eqx10eqx"" show that ""eqx11eqx"" is in fact a field."
B.203	"Why does the subtraction symbol go away? ""eqx12eqx"""
B.204	"I know the definition of ""the locally closed subscheme of ""eqx23eqx"" where two ""eqx24eqx""-  morphisms ""eqx25eqx"" agree"" from its universal property. Also I can define it as the fiber product of the diagonal ""eqx26eqx"" with ""eqx27eqx"" My question:  how to prove that the underlying set of ""the locally closed subscheme where the two morphisms agree"" is the same as the set of points where the two morphism agree on the residue field. It is probably clear thatthe former is contained in the latter, but why is it all of them?"
B.205	"Here, n $\in$ I.  One solution will remain x=n But i want to find if any more solutions can exist ""eqx30eqx"""
B.206	"I'm confused on the limit of ""eqx33eqx"""
B.207	"I am working on this problem to find a function ""eqx37eqx"" s.t. ""eqx38eqx"" where ""eqx39eqx"" means that given functions ""eqx40eqx"" and ""eqx41eqx"", we have ""eqx42eqx"". For instance, given the right hand side of the equation above, on input ""eqx43eqx"" we have the following (it's a divergent series) ""eqx44eqx"" The closest function I can think of are the binomials where: ""eqx45eqx"" But it doesnt really equal the first equation above."
